_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa076278a8,Mary J. Blige,Family Affair,0.911,0.551,-3.75,0.0449,0.132,0.0000412,0.0863,0.969,92.887
6757c5642c5d5bfa076278a9,Faithless,We Come 1 - Radio Edit,0.645,0.903,-10.587,0.0441,0.00188,0.799,0.147,0.61,135.977
6757c5642c5d5bfa076278aa,Limp Bizkit,Rollin' (Air Raid Vehicle),0.603,0.933,-3.358,0.171,0.00591,0,0.206,0.709,96.306
6757c5642c5d5bfa076278ab,Lasgo,Something,0.643,0.981,-6.644,0.0439,0.0271,0.0000893,0.11,0.38,140.01
6757c5642c5d5bfa076278ac,iio,Rapture (feat.Nadia Ali),0.661,0.855,-8.403,0.0377,0.0722,0.0185,0.199,0.601,123.943
6757c5642c5d5bfa076278ad,Emma Bunton,What Took You So Long?,0.668,0.772,-5.4,0.0307,0.123,0,0.341,0.911,118.011
6757c5642c5d5bfa076278ae,112,It's Over Now,0.66,0.71,-4.541,0.0409,0.0106,0.00000701,0.0736,0.233,97.988
6757c5642c5d5bfa076278af,Blue,All Rise,0.721,0.737,-2.734,0.0324,0.121,0,0.165,0.931,97.996
6757c5642c5d5bfa076278b0,Jessica Simpson,Irresistible,0.657,0.965,-2.771,0.0556,0.0285,0.0000884,0.0552,0.669,93.013
6757c5642c5d5bfa076278b1,Crazy Town,Butterfly,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502
6757c5642c5d5bfa076278b2,Michael Jackson,You Rock My World,0.854,0.673,-3.132,0.185,0.038,0.000227,0.255,0.955,95
6757c5642c5d5bfa076278b3,Eve,Let Me Blow Ya Mind,0.908,0.557,-4.243,0.107,0.242,0,0.0709,0.897,90.032
6757c5642c5d5bfa076278b4,Jennifer Lopez,Ain't It Funny,0.707,0.869,-4.525,0.0481,0.104,0.000121,0.0813,0.621,99.825
6757c5642c5d5bfa076278b5,Brandy,Another Day in Paradise - R&B-Version,0.7,0.787,-5.176,0.0327,0.00666,0.0000368,0.0724,0.556,102.043
6757c5642c5d5bfa076278b6,Nickelback,How You Remind Me,0.446,0.764,-5.042,0.033,0.00135,0,0.099,0.543,172.094
6757c5642c5d5bfa076278b7,Daft Punk,One More Time,0.613,0.697,-8.618,0.133,0.0194,0,0.332,0.476,122.746
6757c5642c5d5bfa076278b8,Outkast,Ms. Jackson,0.843,0.806,-5.946,0.269,0.143,0,0.0771,0.613,94.948
6757c5642c5d5bfa076278b9,Fragma,Everytime You Need Me - Radio Version,0.682,0.917,-5.459,0.0318,0.15,0.0676,0.34,0.79,137.029
6757c5642c5d5bfa076278ba,Mariah Carey,Loverboy,0.721,0.79,-4.125,0.124,0.183,0,0.1,0.821,103.141
6757c5642c5d5bfa076278bb,Dido,Thank You,0.725,0.583,-9.942,0.0427,0.3,0.000238,0.0665,0.762,79.984
6757c5642c5d5bfa076278bc,Joe,Stutter (feat. Mystikal) - Double Take Remix,0.767,0.759,-6.516,0.117,0.0513,0,0.31,0.677,89.989
6757c5642c5d5bfa076278bd,P.O.D.,Youth of the Nation,0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867
6757c5642c5d5bfa076278be,Jennifer Lopez,Play,0.775,0.729,-4.229,0.162,0.0303,0.00247,0.0361,0.895,104.719
6757c5642c5d5bfa076278bf,Missy Elliott,Get Ur Freak On,0.797,0.75,-9.369,0.247,0.533,0.108,0.095,0.74,177.87
6757c5642c5d5bfa076278c0,Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),0.635,0.854,-5.02,0.0612,0.00579,0.0083,0.0623,0.59,100.851
6757c5642c5d5bfa076278c1,Christina Milian,AM To PM,0.872,0.868,-3.036,0.12,0.153,0.0000226,0.843,0.822,105.005
6757c5642c5d5bfa076278c2,Roger Sanchez,Another Chance,0.61,0.82,-10.029,0.0312,0.000211,0.146,0.138,0.45,127.993
6757c5642c5d5bfa076278c3,Gorillaz,Clint Eastwood,0.663,0.694,-8.627,0.171,0.0253,0,0.0698,0.525,167.953
6757c5642c5d5bfa076278c4,2Pac,Until The End Of Time,0.757,0.706,-6.665,0.203,0.0267,0,0.197,0.375,96.976
6757c5642c5d5bfa076278c5,Tamia,Stranger in My House,0.676,0.601,-4.905,0.0297,0.103,0,0.147,0.206,119.94
6757c5642c5d5bfa076278c6,Mary J. Blige,No More Drama,0.653,0.837,-6.818,0.124,0.534,0.0000712,0.0784,0.64,97.914
6757c5642c5d5bfa076278c7,Jennifer Lopez,Love Don't Cost a Thing,0.786,0.842,-5.115,0.0707,0.00305,0.00000354,0.473,0.685,97.577
6757c5642c5d5bfa076278c8,Jamiroquai,Little L,0.878,0.724,-5.373,0.129,0.168,0.0116,0.133,0.904,121.906
6757c5642c5d5bfa076278c9,Case,Missing You,0.612,0.579,-6.417,0.0553,0.285,0,0.0556,0.716,86.31
6757c5642c5d5bfa076278ca,112,Peaches & Cream,0.677,0.52,-6.255,0.334,0.00277,0,0.0532,0.768,203.862
6757c5642c5d5bfa076278cb,Five,Let's Dance - Radio Edit,0.631,0.821,-7.853,0.0867,0.00876,0.000247,0.293,0.547,118.007
6757c5642c5d5bfa076278cc,Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],0.464,0.922,-8.399,0.0638,0.124,0.227,0.0546,0.695,129.078
6757c5642c5d5bfa076278cd,Alien Ant Farm,Smooth Criminal,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928
6757c5642c5d5bfa076278ce,Erick Sermon,Music (feat. Marvin Gaye),0.897,0.466,-9.053,0.203,0.187,0.00000135,0.0757,0.884,100.01
6757c5642c5d5bfa076278cf,D12,Purple Pills,0.78,0.634,-5.941,0.16,0.0199,0.0000298,0.29,0.754,125.25
6757c5642c5d5bfa076278d0,Usher,Pop Ya Collar - Radio Edit,0.888,0.8,-3.944,0.0946,0.0901,0.0000212,0.229,0.866,106.957
